from_year,to_year,from_seccion,from_seccion_nombre,to_seccion,to_seccion_nombre,count
2011,2013,20,SAN JUSTO,8,JUAREZ CELMAN,20
2011,2013,21,SANTA MARIA,4,CRUZ DEL EJE,20
2011,2013,23,TERCERO ARRIBA,19,SAN JAVIER,20
2011,2013,24,TOTORAL,12,PUNILLA,20
2011,2013,4,CRUZ DEL EJE,23,TERCERO ARRIBA,20
2011,2013,5,GENERAL ROCA,12,PUNILLA,20
2011,2013,12,PUNILLA,15,RIO SECO,19
2011,2013,12,PUNILLA,25,TULUMBA,19
2011,2013,13,RIO CUARTO,14,RIO PRIMERO,19
2011,2013,15,RIO SECO,21,SANTA MARIA,19
2011,2013,19,SAN JAVIER,4,CRUZ DEL EJE,19
2011,2013,2,CALAMUCHITA,26,UNION,19
2011,2013,4,CRUZ DEL EJE,19,SAN JAVIER,19
2011,2013,6,GRAL SAN MARTIN,7,ISCHILIN,19
2011,2013,9,MARCOS JUAREZ,19,SAN JAVIER,19
2011,2013,14,RIO PRIMERO,19,SAN JAVIER,18
2011,2013,14,RIO PRIMERO,7,ISCHILIN,18
2011,2013,19,SAN JAVIER,21,SANTA MARIA,18
2011,2013,20,SAN JUSTO,4,CRUZ DEL EJE,18
2011,2013,25,TULUMBA,20,SAN JUSTO,18
2011,2013,5,GENERAL ROCA,20,SAN JUSTO,18
2011,2013,7,ISCHILIN,20,SAN JUSTO,18
2011,2013,12,PUNILLA,24,TOTORAL,17
2011,2013,14,RIO PRIMERO,25,TULUMBA,17
2011,2013,20,SAN JUSTO,18,SAN ALBERTO,17
2011,2013,21,SANTA MARIA,26,UNION,17
2011,2013,21,SANTA MARIA,7,ISCHILIN,17
2011,2013,22,SOBREMONTE,15,RIO SECO,17
2011,2013,22,SOBREMONTE,3,COLON,17
2011,2013,4,CRUZ DEL EJE,24,TOTORAL,17
2011,2013,4,CRUZ DEL EJE,9,MARCOS JUAREZ,17
2011,2013,11,POCHO,3,COLON,16
2011,2013,19,SAN JAVIER,23,TERCERO ARRIBA,16
2011,2013,2,CALAMUCHITA,8,JUAREZ CELMAN,16
2011,2013,25,TULUMBA,14,RIO PRIMERO,16
2011,2013,26,UNION,14,RIO PRIMERO,16
2011,2013,15,RIO SECO,24,TOTORAL,15
2011,2013,17,ROQUE SAENZ PEÑA,21,SANTA MARIA,15
2011,2013,2,CALAMUCHITA,16,RIO SEGUNDO,15
2011,2013,20,SAN JUSTO,5,GENERAL ROCA,15
2011,2013,21,SANTA MARIA,18,SAN ALBERTO,15
2011,2013,3,COLON,17,ROQUE SAENZ PEÑA,15
2011,2013,5,GENERAL ROCA,2,CALAMUCHITA,15
2011,2013,5,GENERAL ROCA,6,GRAL SAN MARTIN,15
2011,2013,9,MARCOS JUAREZ,4,CRUZ DEL EJE,15
2011,2013,14,RIO PRIMERO,9,MARCOS JUAREZ,14
2011,2013,18,SAN ALBERTO,6,GRAL SAN MARTIN,14
2011,2013,20,SAN JUSTO,7,ISCHILIN,14
2011,2013,21,SANTA MARIA,17,ROQUE SAENZ PEÑA,14
2011,2013,25,TULUMBA,21,SANTA MARIA,14
2011,2013,3,COLON,22,SOBREMONTE,14
2011,2013,5,GENERAL ROCA,23,TERCERO ARRIBA,14
2011,2013,7,ISCHILIN,13,RIO CUARTO,14
2011,2013,8,JUAREZ CELMAN,19,SAN JAVIER,14
2011,2013,9,MARCOS JUAREZ,5,GENERAL ROCA,14
2011,2013,13,RIO CUARTO,24,TOTORAL,13
2011,2013,15,RIO SECO,14,RIO PRIMERO,13
2011,2013,18,SAN ALBERTO,20,SAN JUSTO,13
2011,2013,19,SAN JAVIER,7,ISCHILIN,13
2011,2013,21,SANTA MARIA,19,SAN JAVIER,13
2011,2013,22,SOBREMONTE,7,ISCHILIN,13
2011,2013,24,TOTORAL,4,CRUZ DEL EJE,13
2011,2013,5,GENERAL ROCA,21,SANTA MARIA,13
2011,2013,5,GENERAL ROCA,8,JUAREZ CELMAN,13
2011,2013,11,POCHO,13,RIO CUARTO,12
2011,2013,14,RIO PRIMERO,8,JUAREZ CELMAN,12
2011,2013,15,RIO SECO,23,TERCERO ARRIBA,12
2011,2013,15,RIO SECO,4,CRUZ DEL EJE,12
2011,2013,19,SAN JAVIER,11,POCHO,12
2011,2013,19,SAN JAVIER,6,GRAL SAN MARTIN,12
2011,2013,7,ISCHILIN,14,RIO PRIMERO,12
2011,2013,7,ISCHILIN,21,SANTA MARIA,12
2011,2013,7,ISCHILIN,9,MARCOS JUAREZ,12
2011,2013,8,JUAREZ CELMAN,21,SANTA MARIA,12
2011,2013,13,RIO CUARTO,7,ISCHILIN,11
2011,2013,14,RIO PRIMERO,2,CALAMUCHITA,11
2011,2013,14,RIO PRIMERO,26,UNION,11
2011,2013,15,RIO SECO,20,SAN JUSTO,11
2011,2013,18,SAN ALBERTO,16,RIO SEGUNDO,11
2011,2013,19,SAN JAVIER,14,RIO PRIMERO,11
2011,2013,2,CALAMUCHITA,17,ROQUE SAENZ PEÑA,11
2011,2013,2,CALAMUCHITA,4,CRUZ DEL EJE,11
2011,2013,21,SANTA MARIA,15,RIO SECO,11
2011,2013,22,SOBREMONTE,25,TULUMBA,11
2011,2013,23,TERCERO ARRIBA,15,RIO SECO,11
2011,2013,23,TERCERO ARRIBA,17,ROQUE SAENZ PEÑA,11
2011,2013,23,TERCERO ARRIBA,4,CRUZ DEL EJE,11
2011,2013,24,TOTORAL,20,SAN JUSTO,11
2011,2013,3,COLON,11,POCHO,11
2011,2013,4,CRUZ DEL EJE,25,TULUMBA,11
2011,2013,5,GENERAL ROCA,9,MARCOS JUAREZ,11
2011,2013,7,ISCHILIN,16,RIO SEGUNDO,11
2011,2013,7,ISCHILIN,26,UNION,11
2011,2013,10,MINAS,11,POCHO,10
2011,2013,10,MINAS,21,SANTA MARIA,10
2011,2013,15,RIO SECO,6,GRAL SAN MARTIN,10
2011,2013,17,ROQUE SAENZ PEÑA,2,CALAMUCHITA,10
2011,2013,18,SAN ALBERTO,2,CALAMUCHITA,10
2011,2013,18,SAN ALBERTO,4,CRUZ DEL EJE,10
2011,2013,2,CALAMUCHITA,14,RIO PRIMERO,10
2011,2013,20,SAN JUSTO,24,TOTORAL,10
2011,2013,20,SAN JUSTO,25,TULUMBA,10
2011,2013,21,SANTA MARIA,24,TOTORAL,10
2011,2013,23,TERCERO ARRIBA,5,GENERAL ROCA,10
2011,2013,24,TOTORAL,15,RIO SECO,10
2011,2013,25,TULUMBA,16,RIO SEGUNDO,10
2011,2013,25,TULUMBA,6,GRAL SAN MARTIN,10
2011,2013,8,JUAREZ CELMAN,20,SAN JUSTO,10
2011,2013,12,PUNILLA,22,SOBREMONTE,9
2011,2013,12,PUNILLA,5,GENERAL ROCA,9
2011,2013,16,RIO SEGUNDO,19,SAN JAVIER,9
2011,2013,17,ROQUE SAENZ PEÑA,16,RIO SEGUNDO,9
2011,2013,18,SAN ALBERTO,26,UNION,9
2011,2013,2,CALAMUCHITA,7,ISCHILIN,9
2011,2013,22,SOBREMONTE,12,PUNILLA,9
2011,2013,23,TERCERO ARRIBA,25,TULUMBA,9
2011,2013,24,TOTORAL,13,RIO CUARTO,9
2011,2013,24,TOTORAL,21,SANTA MARIA,9
2011,2013,26,UNION,18,SAN ALBERTO,9
2011,2013,26,UNION,5,GENERAL ROCA,9
2011,2013,26,UNION,7,ISCHILIN,9
2011,2013,3,COLON,5,GENERAL ROCA,9
2011,2013,6,GRAL SAN MARTIN,19,SAN JAVIER,9
2011,2013,7,ISCHILIN,19,SAN JAVIER,9
2011,2013,7,ISCHILIN,23,TERCERO ARRIBA,9
2011,2013,15,RIO SECO,22,SOBREMONTE,8
2011,2013,16,RIO SEGUNDO,18,SAN ALBERTO,8
2011,2013,17,ROQUE SAENZ PEÑA,20,SAN JUSTO,8
2011,2013,19,SAN JAVIER,24,TOTORAL,8
2011,2013,2,CALAMUCHITA,19,SAN JAVIER,8
2011,2013,21,SANTA MARIA,25,TULUMBA,8
2011,2013,23,TERCERO ARRIBA,24,TOTORAL,8
2011,2013,24,TOTORAL,6,GRAL SAN MARTIN,8
2011,2013,25,TULUMBA,23,TERCERO ARRIBA,8
2011,2013,25,TULUMBA,4,CRUZ DEL EJE,8
2011,2013,26,UNION,24,TOTORAL,8
2011,2013,26,UNION,4,CRUZ DEL EJE,8
2011,2013,5,GENERAL ROCA,26,UNION,8
2011,2013,5,GENERAL ROCA,4,CRUZ DEL EJE,8
2011,2013,6,GRAL SAN MARTIN,15,RIO SECO,8
2011,2013,6,GRAL SAN MARTIN,5,GENERAL ROCA,8
2011,2013,7,ISCHILIN,2,CALAMUCHITA,8
2011,2013,9,MARCOS JUAREZ,7,ISCHILIN,8
2011,2013,12,PUNILLA,11,POCHO,7
2011,2013,13,RIO CUARTO,11,POCHO,7
2011,2013,15,RIO SECO,13,RIO CUARTO,7
2011,2013,16,RIO SEGUNDO,25,TULUMBA,7
2011,2013,16,RIO SEGUNDO,5,GENERAL ROCA,7
2011,2013,19,SAN JAVIER,17,ROQUE SAENZ PEÑA,7
2011,2013,19,SAN JAVIER,2,CALAMUCHITA,7
2011,2013,21,SANTA MARIA,10,MINAS,7
2011,2013,21,SANTA MARIA,8,JUAREZ CELMAN,7
2011,2013,24,TOTORAL,23,TERCERO ARRIBA,7
2011,2013,25,TULUMBA,22,SOBREMONTE,7
2011,2013,25,TULUMBA,26,UNION,7
2011,2013,4,CRUZ DEL EJE,15,RIO SECO,7
