CTLAESCG;SILVA TEAM ENERGÍAS RENOVABLES S.A.
CTARIVSG;So ENERGY ARGENTINA S.A.
CTRTERCG;So ENERGY ARGENTINA S.A.
CTSALT2G;So ENERGY ARGENTINA S.A.
CFULLUMG;SOLARGEN ULLUM S.A.
SOLALB2A;SOLVAY - INDUPA
CTLUJA2G;STONEWAY CAPITAL CORP.
CTMATH3G;STONEWAY CAPITAL CORP.
CTSPED2G;STONEWAY CAPITAL CORP.
CTSPEDRG;STONEWAY CAPITAL CORP.
CTANA2SG;SULLAIR ARGENTINA S.A.
CTANATSG;SULLAIR ARGENTINA S.A.
CTBELLSG;SULLAIR ARGENTINA S.A.
CTCAIMAG;SULLAIR ARGENTINA S.A.
CTCHARSG;SULLAIR ARGENTINA S.A.
CTCOLBUG;SULLAIR ARGENTINA S.A.
CTLAPLSG;SULLAIR ARGENTINA S.A.
CTLIBESG;SULLAIR ARGENTINA S.A.
CTLOBOSG;SULLAIR ARGENTINA S.A.
CTPIRASG;SULLAIR ARGENTINA S.A.
CTTINOSG;SULLAIR ARGENTINA S.A.
PSHELI2G;TASSAROLIS S.A.
PSHELIOG;TASSAROLIS S.A.
PEBUENAG;TECHINT
SIDERCAC;TECHINT
SIDESN1A;TECHINT
CTBARISG;TERMO CÓRDOBA S.A.U.
CTJUNISG;TERMO CÓRDOBA S.A.U.
CTTIGONG;TIGONBU ENERGÍA S.A.
CEMPPOMG;TJ PARTNERS S.A.
HREYESYG;TJ PARTNERS S.A.
CEMALA1G;TOTAL ENERGIES SE2
CFCALDEG;TOTAL ENERGIES SE2
PECORTIG;TOTAL ENERGIES SE2
PEHERCUG;TOTAL ENERGIES SE2
PSTITOZG;TOZZI GREEN TINOGASTA S.A.
CTITATTG;TURBODIESEL S.A.
CTLPALTG;TURBODIESEL S.A.
CTPATRTG;TURBODIESEL S.A.
CTPROCAG;TURBODIESEL S.A.
CTSMARTG;TURBODIESEL S.A.
CTSROSTG;TURBODIESEL S.A.
CTUNITAG;UNITAN S.A.I.C.A.
PACOELRA;VISTA OIL & GAS ARGENTINA S.A.U.
CTBRAC2G;YPF ENERGÍA ELÉCTRICA S.A.
CTBRACHG;YPF ENERGÍA ELÉCTRICA S.A.
CTDOCKSG;YPF ENERGÍA ELÉCTRICA S.A.
CTLCAM2G;YPF ENERGÍA ELÉCTRICA S.A.
CTLCAMPG;YPF ENERGÍA ELÉCTRICA S.A.
CTSANMIG;YPF ENERGÍA ELÉCTRICA S.A.
CTTUCUMG;YPF ENERGÍA ELÉCTRICA S.A.
FILOMORG;YPF ENERGÍA ELÉCTRICA S.A.
LAPLATAA;YPF ENERGÍA ELÉCTRICA S.A.
PECAÑA1G;YPF ENERGÍA ELÉCTRICA S.A.
PECAÑA2G;YPF ENERGÍA ELÉCTRICA S.A.
PELTEROG;YPF ENERGÍA ELÉCTRICA S.A.
PEMBEHRG;YPF ENERGÍA ELÉCTRICA S.A.
PSZONDAG;YPF ENERGÍA ELÉCTRICA S.A.
